"sup_nieve","month","sup_agua"
204.7161888540648,"1995 sep.",50.02441278981016
2673.5055500148674,"1995 oct.",19.09863745740563
242.90222574745667,"1995 nov.",30.886299437478833
30.129058017943837,"1995 dic.",41.17596149073691
0,"1996 ene.",42.7216584729139
21.789765173691524,"1996 feb.",44.767907067588425
52.54651190034252,"1996 mar.",59.74894837592036
78.4610885883954,"1996 abr.",59.66133994721666
2810.341688513029,"1996 may.",81.03779655091837
268.65076732666586,"1996 jun.",79.89888697777033
7755.36300552359,"1996 jul.",44.06703963795886
4495.237522314114,"1996 ago.",86.2943022731401
27653.09507154067,"1996 sep.",54.14200893888384
5991.2887246098735,"1996 oct.",37.49640748518169
885.9377774323962,"1996 nov.",42.40247949258864
152.16967695372227,"1996 dic.",41.96443734907017
202.02609438817697,"1997 ene.",56.68265337129101
